,index,aqi,aqiInfo,aqiLevel,bWendu,fengli,fengxiang,tianqi,yWendu,ymd,month
0,0,450.0,严重污染,6.0,5℃,1-2级,南风,霾~晴,-3℃,2017-01-01,201701
1,1,246.0,重度污染,5.0,7℃,1-2级,南风,晴~霾,-6℃,2017-01-02,201701
2,2,320.0,严重污染,6.0,5℃,1-2级,南风,霾,-5℃,2017-01-03,201701
3,3,360.0,严重污染,6.0,6℃,1-2级,北风,霾,-5℃,2017-01-04,201701
4,4,280.0,重度污染,5.0,2℃,1-2级,北风,霾,-4℃,2017-01-05,201701
5,5,234.0,重度污染,5.0,4℃,1-2级,南风,霾,-2℃,2017-01-06,201701
6,6,206.0,重度污染,5.0,2℃,微风,无持续风向,小雪,-3℃,2017-01-07,201701
7,7,59.0,良,2.0,5℃,1-2级,北风,阴~晴,-4℃,2017-01-08,201701
8,8,42.0,优,1.0,3℃,1-2级,南风,晴,-5℃,2017-01-09,201701
9,9,46.0,优,1.0,4℃,3-4级,北风,晴,-6℃,2017-01-10,201701
10,10,82.0,良,2.0,5℃,1-2级,南风,晴,-5℃,2017-01-11,201701
11,11,61.0,良,2.0,5℃,1-2级,南风,晴,-4℃,2017-01-12,201701
12,12,26.0,优,1.0,3℃,3-4级,北风,晴,-6℃,2017-01-13,201701
13,13,35.0,优,1.0,3℃,1-2级,东南风,晴,-7℃,2017-01-14,201701
14,14,71.0,良,2.0,1℃,1-2级,南风,霾,-6℃,2017-01-15,201701
15,15,123.0,轻度污染,3.0,1℃,1-2级,南风,霾,-5℃,2017-01-16,201701
16,16,175.0,中度污染,4.0,4℃,1-2级,北风,霾~晴,-5℃,2017-01-17,201701
17,17,59.0,良,2.0,2℃,1-2级,南风,多云~小雪,-4℃,2017-01-18,201701
18,18,86.0,良,2.0,1℃,5-6级,北风,晴,-8℃,2017-01-19,201701
19,19,35.0,优,1.0,1℃,1-2级,西南风,晴~多云,-8℃,2017-01-20,201701
20,20,55.0,良,2.0,0℃,4-5级,东北风,晴,-8℃,2017-01-21,201701
21,21,37.0,优,1.0,0℃,1-2级,南风,晴,-10℃,2017-01-22,201701
22,22,46.0,优,1.0,1℃,1-2级,西南风,多云~晴,-8℃,2017-01-23,201701
23,23,112.0,轻度污染,3.0,4℃,1-2级,南风,多云,-7℃,2017-01-24,201701
24,24,215.0,重度污染,5.0,5℃,1-2级,西南风,晴~阴,-4℃,2017-01-25,201701
25,25,216.0,重度污染,5.0,8℃,4-5级,北风,多云~晴,-6℃,2017-01-26,201701
26,26,69.0,良,2.0,5℃,3-4级,西南风,晴~多云,-5℃,2017-01-27,201701
27,27,354.0,严重污染,6.0,4℃,1-2级,南风,多云,-4℃,2017-01-28,201701
28,28,89.0,良,2.0,1℃,4-5级,北风,多云~晴,-8℃,2017-01-29,201701
29,29,38.0,优,1.0,1℃,1-2级,南风,多云,-5℃,2017-01-30,201701
30,30,107.0,轻度污染,3.0,5℃,1-2级,南风,晴,-4℃,2017-01-31,201701
31,0,45.0,优,1.0,4℃,3-4级,北风,晴,-7℃,2017-02-01,201702
32,1,109.0,轻度污染,3.0,5℃,1-2级,南风,晴,-5℃,2017-02-02,201702
33,2,188.0,中度污染,4.0,6℃,微风,无持续风向,晴~多云,-3℃,2017-02-03,201702
34,3,303.0,严重污染,6.0,9℃,1-2级,北风,晴,-2℃,2017-02-04,201702
35,4,28.0,优,1.0,8℃,1-2级,北风,晴,-4℃,2017-02-05,201702
36,5,29.0,优,1.0,4℃,1-2级,南风,多云~阴,-5℃,2017-02-06,201702
37,6,99.0,良,2.0,1℃,1-2级,南风,小雪~阴,-4℃,2017-02-07,201702
38,7,64.0,良,2.0,4℃,4-5级,北风,多云~晴,-7℃,2017-02-08,201702
39,8,28.0,优,1.0,3℃,4-5级,北风,晴,-5℃,2017-02-09,201702
40,9,30.0,优,1.0,4℃,4-5级,北风,晴,-6℃,2017-02-10,201702
41,10,54.0,良,2.0,7℃,1-2级,南风,晴,-5℃,2017-02-11,201702
42,11,138.0,轻度污染,3.0,9℃,1-2级,南风,晴,-3℃,2017-02-12,201702
43,12,112.0,轻度污染,3.0,10℃,1-2级,南风,晴,-4℃,2017-02-13,201702
44,13,221.0,重度污染,5.0,8℃,1-2级,南风,晴,-3℃,2017-02-14,201702
45,14,282.0,重度污染,5.0,8℃,1-2级,南风,多云~阴,1℃,2017-02-15,201702
46,15,154.0,中度污染,4.0,7℃,4-5级,北风,多云,-4℃,2017-02-16,201702
47,16,38.0,优,1.0,5℃,1-2级,南风,晴,-4℃,2017-02-17,201702
48,17,109.0,轻度污染,3.0,8℃,1-2级,南风,多云~阴,-1℃,2017-02-18,201702
49,18,155.0,中度污染,4.0,15℃,4-5级,北风,多云~晴,-2℃,2017-02-19,201702
50,19,33.0,优,1.0,6℃,3-4级,北风,多云~阴,-2℃,2017-02-20,201702
51,20,82.0,良,2.0,1℃,1-2级,南风,小雪,-3℃,2017-02-21,201702
52,21,109.0,轻度污染,3.0,9℃,3-4级,北风,阴~晴,-3℃,2017-02-22,201702
53,22,32.0,优,1.0,7℃,1-2级,南风,晴,-4℃,2017-02-23,201702
54,23,45.0,优,1.0,12℃,1-2级,北风,晴,-2℃,2017-02-24,201702
55,24,29.0,优,1.0,12℃,微风,无持续风向,多云,-1℃,2017-02-25,201702
56,25,44.0,优,1.0,13℃,微风,无持续风向,晴,-2℃,2017-02-26,201702
57,26,90.0,良,2.0,14℃,1-2级,南风,晴,2℃,2017-02-27,201702
58,27,37.0,优,1.0,15℃,1-2级,北风,多云~阴,2℃,2017-02-28,201702
59,0,39.0,优,1.0,8℃,4-5级,北风,晴,-3℃,2017-03-01,201703
60,1,59.0,良,2.0,13℃,3-4级,南风,晴,-2℃,2017-03-02,201703
61,2,114.0,轻度污染,3.0,13℃,微风,无持续风向,晴,-2℃,2017-03-03,201703
