,index,aqi,aqiInfo,aqiLevel,bWendu,fengli,fengxiang,tianqi,yWendu,ymd,month
0,0,54.0,良,2.0,23℃,微风,无持续风向,多云,17℃,2017-01-01,201701
1,1,63.0,良,2.0,25℃,微风,无持续风向,多云,18℃,2017-01-02,201701
2,2,73.0,良,2.0,25℃,微风,无持续风向,多云,18℃,2017-01-03,201701
3,3,48.0,优,1.0,24℃,微风,无持续风向,多云,18℃,2017-01-04,201701
4,4,68.0,良,2.0,26℃,微风,无持续风向,多云,19℃,2017-01-05,201701
5,5,69.0,良,2.0,25℃,微风,无持续风向,多云,19℃,2017-01-06,201701
6,6,51.0,良,2.0,24℃,微风,无持续风向,阴,18℃,2017-01-07,201701
7,7,71.0,良,2.0,24℃,微风,无持续风向,多云,18℃,2017-01-08,201701
8,8,57.0,良,2.0,23℃,微风,无持续风向,多云~阴,16℃,2017-01-09,201701
9,9,59.0,良,2.0,21℃,微风,无持续风向,晴~多云,16℃,2017-01-10,201701
10,10,81.0,良,2.0,21℃,微风,无持续风向,多云~阴,17℃,2017-01-11,201701
11,11,90.0,良,2.0,20℃,微风,无持续风向,小雨,14℃,2017-01-12,201701
12,12,26.0,优,1.0,19℃,微风,无持续风向,小雨,14℃,2017-01-13,201701
13,13,28.0,优,1.0,16℃,微风,无持续风向,小雨,13℃,2017-01-14,201701
14,14,37.0,优,1.0,16℃,微风,无持续风向,小雨~阴,12℃,2017-01-15,201701
15,15,39.0,优,1.0,17℃,微风,无持续风向,阴~多云,13℃,2017-01-16,201701
16,16,43.0,优,1.0,18℃,微风,无持续风向,小雨,14℃,2017-01-17,201701
17,17,59.0,良,2.0,21℃,微风,无持续风向,阴~多云,16℃,2017-01-18,201701
18,18,62.0,良,2.0,21℃,微风,无持续风向,小雨~阴,14℃,2017-01-19,201701
19,19,37.0,优,1.0,21℃,微风,无持续风向,多云~晴,12℃,2017-01-20,201701
20,20,62.0,良,2.0,19℃,微风,无持续风向,多云,10℃,2017-01-21,201701
21,21,67.0,良,2.0,19℃,微风,无持续风向,多云,11℃,2017-01-22,201701
22,22,64.0,良,2.0,20℃,微风,无持续风向,多云,12℃,2017-01-23,201701
23,23,59.0,良,2.0,20℃,微风,无持续风向,小雨,13℃,2017-01-24,201701
24,24,51.0,良,2.0,22℃,微风,无持续风向,多云,13℃,2017-01-25,201701
25,25,57.0,良,2.0,22℃,微风,无持续风向,晴,16℃,2017-01-26,201701
