,index,aqi,aqiInfo,aqiLevel,bWendu,fengli,fengxiang,tianqi,yWendu,ymd,month
0,0,67.0,良,2.0,18℃,1-2级,东北风,多云,10℃,2017-01-01,201701
1,1,75.0,良,2.0,23℃,1-2级,东北风,多云,14℃,2017-01-02,201701
2,2,113.0,轻度污染,3.0,19℃,1-2级,东北风,阴~多云,14℃,2017-01-03,201701
3,3,107.0,轻度污染,3.0,22℃,1-2级,东北风,多云~阴,14℃,2017-01-04,201701
4,4,85.0,良,2.0,19℃,1-2级,东北风,阴~小雨,16℃,2017-01-05,201701
5,5,67.0,良,2.0,18℃,1-2级,东北风,小雨~阴,16℃,2017-01-06,201701
6,6,58.0,良,2.0,20℃,1-2级,东北风,小雨,13℃,2017-01-07,201701
7,7,32.0,优,1.0,18℃,1-2级,东北风,阴~多云,13℃,2017-01-08,201701
8,8,70.0,良,2.0,16℃,1-2级,东北风,晴,6℃,2017-01-09,201701
9,9,134.0,轻度污染,3.0,16℃,1-2级,东北风,晴~多云,9℃,2017-01-10,201701
10,10,76.0,良,2.0,13℃,1-2级,东北风,阴~小雨,10℃,2017-01-11,201701
11,11,29.0,优,1.0,11℃,1-2级,东北风,小雨,8℃,2017-01-12,201701
12,12,42.0,优,1.0,11℃,1-2级,东北风,阴,7℃,2017-01-13,201701
13,13,78.0,良,2.0,13℃,1-2级,东北风,多云,6℃,2017-01-14,201701
14,14,47.0,优,1.0,14℃,1-2级,东北风,多云,6℃,2017-01-15,201701
15,15,47.0,优,1.0,14℃,1-2级,东北风,晴~阴,6℃,2017-01-16,201701
16,16,53.0,良,2.0,14℃,1-2级,东北风,阴~小雨,11℃,2017-01-17,201701
17,17,38.0,优,1.0,13℃,1-2级,东北风,小雨,9℃,2017-01-18,201701
18,18,24.0,优,1.0,12℃,1-2级,东北风,小雨~阴,9℃,2017-01-19,201701
19,19,45.0,优,1.0,12℃,1-2级,东北风,多云~晴,3℃,2017-01-20,201701
20,20,52.0,良,2.0,13℃,1-2级,东北风,晴,3℃,2017-01-21,201701
21,21,64.0,良,2.0,15℃,1-2级,东北风,晴,4℃,2017-01-22,201701
22,22,74.0,良,2.0,14℃,1-2级,东北风,晴~多云,4℃,2017-01-23,201701
23,23,47.0,优,1.0,13℃,1-2级,东北风,多云~小雨,7℃,2017-01-24,201701
24,24,51.0,良,2.0,13℃,1-2级,东北风,阴~多云,4℃,2017-01-25,201701
25,25,56.0,良,2.0,15℃,1-2级,东北风,晴~多云,4℃,2017-01-26,201701
26,26,55.0,良,2.0,17℃,1-2级,东北风,多云,7℃,2017-01-27,201701
27,27,130.0,轻度污染,3.0,14℃,1-2级,东北风,阴~多云,7℃,2017-01-28,201701
28,28,66.0,良,2.0,23℃,1-2级,东北风,晴~小雨,11℃,2017-01-29,201701
29,29,48.0,优,1.0,17℃,3-4级,西北风,小雨~多云,6℃,2017-01-30,201701
30,30,58.0,良,2.0,12℃,1-2级,东北风,多云,6℃,2017-01-31,201701
31,0,43.0,优,1.0,14℃,1-2级,东北风,阴,8℃,2017-02-01,201702
32,1,49.0,优,1.0,13℃,1-2级,东北风,多云,8℃,2017-02-02,201702
33,2,50.0,优,1.0,17℃,1-2级,东北风,多云,8℃,2017-02-03,201702
34,3,44.0,优,1.0,21℃,1-2级,东北风,小雨~阴,11℃,2017-02-04,201702
35,4,58.0,良,2.0,17℃,1-2级,北风,多云,7℃,2017-02-05,201702
36,5,85.0,良,2.0,16℃,1-2级,东北风,多云,7℃,2017-02-06,201702
37,6,71.0,良,2.0,14℃,1-2级,东北风,多云,7℃,2017-02-07,201702
38,7,35.0,优,1.0,13℃,1-2级,东北风,小雨,6℃,2017-02-08,201702
39,8,36.0,优,1.0,10℃,1-2级,东北风,多云~晴,3℃,2017-02-09,201702
40,9,75.0,良,2.0,12℃,1-2级,东北风,晴,2℃,2017-02-10,201702
41,10,65.0,良,2.0,14℃,1-2级,东北风,晴,2℃,2017-02-11,201702
42,11,71.0,良,2.0,13℃,1-2级,东北风,晴,2℃,2017-02-12,201702
43,12,66.0,良,2.0,16℃,1-2级,东北风,晴,4℃,2017-02-13,201702
44,13,69.0,良,2.0,17℃,1-2级,东北风,晴,5℃,2017-02-14,201702
45,14,72.0,良,2.0,18℃,1-2级,东北风,晴~多云,5℃,2017-02-15,201702
46,15,69.0,良,2.0,21℃,1-2级,东北风,多云,10℃,2017-02-16,201702
47,16,99.0,良,2.0,24℃,1-2级,东北风,多云~阴,11℃,2017-02-17,201702
48,17,85.0,良,2.0,15℃,1-2级,东北风,阴,11℃,2017-02-18,201702
49,18,81.0,良,2.0,18℃,1-2级,东北风,多云,9℃,2017-02-19,201702
50,19,101.0,轻度污染,3.0,25℃,1-2级,东北风,阵雨~阴,10℃,2017-02-20,201702
51,20,57.0,良,2.0,14℃,1-2级,东北风,阴~小雨,10℃,2017-02-21,201702
52,21,63.0,良,2.0,24℃,1-2级,东北风,阵雨~小雨,8℃,2017-02-22,201702
53,22,31.0,优,1.0,10℃,1-2级,东北风,小雨,5℃,2017-02-23,201702
54,23,84.0,良,2.0,8℃,1-2级,东北风,小雨,4℃,2017-02-24,201702
55,24,101.0,轻度污染,3.0,9℃,1-2级,东北风,小雨~阴,6℃,2017-02-25,201702
56,25,105.0,轻度污染,3.0,16℃,1-2级,东北风,多云,6℃,2017-02-26,201702
57,26,141.0,轻度污染,3.0,16℃,1-2级,东北风,晴~多云,6℃,2017-02-27,201702
58,27,105.0,轻度污染,3.0,16℃,1-2级,东北风,多云,9℃,2017-02-28,201702
59,0,77.0,良,2.0,21℃,1-2级,东北风,多云,7℃,2017-03-01,201703
60,1,75.0,良,2.0,16℃,1-2级,东北风,晴,6℃,2017-03-02,201703
61,2,87.0,良,2.0,18℃,1-2级,东北风,晴~多云,8℃,2017-03-03,201703
62,3,84.0,良,2.0,20℃,1-2级,东北风,多云~小雨,13℃,2017-03-04,201703
63,4,73.0,良,2.0,19℃,1-2级,东北风,小雨,11℃,2017-03-05,201703
64,5,69.0,良,2.0,16℃,1-2级,东北风,阴,10℃,2017-03-06,201703
65,6,59.0,良,2.0,15℃,1-2级,东北风,多云,8℃,2017-03-07,201703
66,7,87.0,良,2.0,19℃,1-2级,东北风,多云~晴,8℃,2017-03-08,201703
67,8,109.0,轻度污染,3.0,18℃,1-2级,东北风,多云~小雨,10℃,2017-03-09,201703
68,9,82.0,良,2.0,13℃,1-2级,东北风,中雨~小雨,11℃,2017-03-10,201703
69,10,63.0,良,2.0,14℃,1-2级,东北风,小雨,13℃,2017-03-11,201703
70,11,76.0,良,2.0,17℃,1-2级,东北风,小雨~大雨,12℃,2017-03-12,201703
71,12,49.0,优,1.0,13℃,1-2级,东北风,中雨~小雨,9℃,2017-03-13,201703
72,13,47.0,优,1.0,16℃,1-2级,东北风,多云,9℃,2017-03-14,201703
73,14,67.0,良,2.0,15℃,1-2级,东北风,多云~小雨,10℃,2017-03-15,201703
